node,location,time,rules,primary,downsample,richness,links,connectance,diameter,complexity,distance,basal,top,generality,vulnerability,S1,S2,S4,S5
guild,Greenland,1,maximal,false,true,11,16,0.1322314049586777,8,0.9711744615421081,3.0,3.0,1.0,2.018099916438052,1.0357254813546264,0.0,0.0,7.0,0.0
guild,Greenland,2,maximal,true,false,13,35,0.20710059171597633,9,0.8900794591657168,3.0,1.0,3.0,2.6578379491802284,2.0159619451027746,2.0,0.0,11.0,0.0
guild,Greenland,2,maximal,true,true,11,27,0.2231404958677686,7,0.8584582489081035,3.0,3.0,3.0,2.9787123514578027,1.6348477827391983,1.0,0.0,6.0,1.0
guild,Greenland,2,maximal,false,false,13,35,0.20710059171597633,9,0.8900794591657168,3.0,1.0,3.0,2.6578379491802284,2.0159619451027746,2.0,0.0,11.0,0.0
guild,Greenland,2,maximal,false,true,12,27,0.1875,7,0.85626112263775,3.0,3.0,3.0,2.8959218974902683,1.4847711791873706,0.0,0.0,2.0,0.0
guild,Greenland,3,maximal,true,false,24,139,0.24131944444444445,19,0.8372798272283971,2.0,1.0,4.0,6.6462095550227245,3.844580224348202,2.0,0.0,67.0,0.0
guild,Greenland,3,maximal,true,true,20,95,0.2375,18,0.8344708916621949,3.0,10.0,1.0,6.281761402328926,2.197486602557807,6.0,16.0,7.0,87.0
guild,Greenland,3,maximal,false,false,24,139,0.24131944444444445,19,0.8372798272283971,2.0,1.0,4.0,6.6462095550227245,3.844580224348202,2.0,0.0,67.0,0.0
guild,Greenland,3,maximal,false,true,20,100,0.25,18,0.8243406991762116,2.0,9.0,0.0,6.440006538081023,2.200478416880723,9.0,21.0,9.0,85.0
guild,Greenland,4,maximal,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,4,maximal,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,4,maximal,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,4,maximal,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,5,maximal,true,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,5,maximal,true,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,5,maximal,false,false,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,5,maximal,false,true,2,1,0.25,1,NaN,2.0,1.0,1.0,0.7071067811865476,0.7071067811865476,0.0,0.0,0.0,0.0
guild,Greenland,1,minimum,true,false,10,14,0.14,6,0.9713609175623263,3.0,1.0,3.0,1.1737877907772674,1.505545305418162,2.0,0.0,11.0,0.0
guild,Greenland,1,minimum,true,true,9,11,0.13580246913580246,6,0.9603315506628063,4.0,3.0,2.0,1.3944333775567928,0.9718253158075502,1.0,0.0,3.0,0.0
guild,Greenland,1,minimum,false,false,10,14,0.14,6,0.9713609175623263,3.0,1.0,3.0,1.1737877907772674,1.505545305418162,2.0,0.0,11.0,0.0
guild,Greenland,1,minimum,false,true,8,11,0.171875,6,0.9735701033834998,3.0,2.0,1.0,1.407885953173359,0.7440238091428449,0.0,0.0,2.0,0.0
guild,Greenland,2,minimum,true,false,12,34,0.2361111111111111,9,0.8873554625446572,3.0,1.0,2.0,2.72474630456533,1.80067327475704,2.0,0.0,7.0,0.0
guild,Greenland,2,minimum,true,true,11,29,0.2396694214876033,9,0.8726435982206252,4.0,3.0,1.0,2.9418608829354,1.5015143870590966,1.0,0.0,1.0,0.0
guild,Greenland,2,minimum,false,false,12,34,0.2361111111111111,9,0.8873554625446572,3.0,1.0,2.0,2.72474630456533,1.80067327475704,2.0,0.0,7.0,0.0
